,Player,Position,Pass_Attempt,Pass_Completion,Pass_Yards,Pass_Touchdowns,Interceptions,Rush_Attempt,Rush_Yards,Rush_Touchdowns,Fumbles_Lost,Fantasy_Points
56,Dan Orlovsky,QB,14.4,8.7,99.2,0.5,0.4,0.8,2.9,0.0,0.3,5.0
57,Luke McCown,QB,14.8,8.8,97.8,0.4,0.3,0.7,2.1,0.0,0.1,4.9
58,Matt Hasselbeck,QB,13.2,8.6,98.9,0.3,0.1,0.5,-0.2,0.0,0.2,4.5
59,Brock Osweiler,QB,10.0,5.9,66.5,0.2,0.2,1.4,2.8,0.0,0.1,3.4
60,Kellen Clemens,QB,13.0,7.3,76.4,0.3,0.4,0.4,-0.1,0.0,0.3,2.7
61,Matt Moore,QB,7.0,4.5,52.5,0.3,0.1,0.6,-0.1,0.0,0.2,2.6
62,Matt Schaub,QB,12.8,7.7,78.1,0.2,0.4,1.7,1.0,0.0,0.5,2.1
63,Matt McGloin,QB,3.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
64,Bryce Petty,QB,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
65,Tarvaris Jackson,QB,3.6,1.5,19.5,0.0,0.2,0.3,-0.2,0.0,0.2,0.1
66,Brett Hundley,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Garrett Grayson,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Sean Mannion,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Joe Webb,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Charlie Whitehurst,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Landry Jones,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Matt Barkley,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Matt Cassel,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Austin Davis,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,B.J. Daniels,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
